offer_id,vendor_name,vendor_country,offer_name,source_url,source_type,claim_type,retrieved_at,evidence_refs,offer_kind,market_side,target_market,target_user_type,problem_domain,workflow_solved,input_requirements,required_device_connectivity,required_digital_maturity,pricing_model,pricing_visibility,minimum_budget_band,minimum_budget_lkr,implementation_friction,onboarding_burden,trust_barrier,language_support,language_demands,integration_demands,regulatory_sensitivity,expected_roi_path,roi_visibility,evidence_strength,channel_model,substitute_cluster,support_burden,vendor_durability,deployability,notes
offer-embibe-personalized-learning,Embibe,IN,Personalized Learning Platform,https://www.embibe.com/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,embibe-offer|prompt03-offer-refresh,candidate,both,consumer_and_institution,consumer_end_user,education_tutoring,adaptive tutoring and learning support,student_profile|content_library,smartphone_or_desktop,low,subscription,medium_visibility,consumer_low,2500,low,medium,medium,en|hi,medium,low,low,learning_outcome,medium,75,self_serve,education_support,low,medium,plug_and_play,Adaptive learning platform
offer-wysa-mental-health,Wysa,IN,AI Mental Health Coach,https://www.wysa.com/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,wysa-offer|prompt03-offer-refresh,candidate,b2c,consumer,consumer_end_user,mental_wellbeing,conversational mental wellness support,self_profile,smartphone_only,low,subscription,medium_visibility,consumer_low,3000,low,low,high,en,low,low,medium,wellbeing_outcome,medium,72,self_serve,wellbeing_support,medium,medium,plug_and_play,Mental wellness coach with strong trust friction
offer-fasal-farm-advisory,Fasal,IN,Fasal Precision Farming AI,https://fasal.co/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,fasal-offer|prompt03-offer-refresh,candidate,b2b,smb,business_buyer,ops_scheduling,sensor-based advisory for farm operations,sensors|field_data,smartphone_or_desktop,medium,subscription,medium_visibility,smb_medium,120000,high,medium,medium,en|hi,medium,medium,low,yield_gain,medium,64,partner_led,agri_vertical,high,medium,integration_project,Weak-fit urban control offer
offer-niramai-screening-ai,NIRAMAI,IN,Thermal Screening AI,https://www.niramai.com/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,niramai-offer|prompt03-offer-refresh,candidate,b2b,enterprise,operations_team,healthcare_screening,screening workflow augmentation,imaging_data|clinical_workflow,desktop_required,high,custom_quote,low_visibility,enterprise_high,700000,high,high,high,en,low,high,high,risk_reduction,high,74,enterprise_sales,healthcare_ai,high,medium,integration_project,Healthcare-specific AI workflow
offer-rephrase-personalized-video,Rephrase.ai,IN,Personalized Video AI,https://www.rephrase.ai/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,rephrase-offer|prompt03-offer-refresh,candidate,b2b,smb,marketing_team,sales_marketing,AI-personalized outbound video messaging,crm|campaign_data,smartphone_or_desktop,medium,custom_quote,low_visibility,smb_medium,125000,medium,medium,medium,en,low,medium,low,revenue_uplift,medium,69,inside_sales,marketing_personalization,medium,medium,assisted_setup,Personalized video outreach
offer-zoho-zia,Zoho,IN,Zia for Business,https://www.zoho.com/zia/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,zoho-zia-offer|prompt03-offer-refresh,candidate,b2b,smb,operations_team,analytics,embedded AI across CRM helpdesk and office workflows,crm|helpdesk|docs,cloud_plus_crm,medium,subscription,medium_visibility,smb_medium,90000,medium,medium,medium,en,low,medium,medium,cost_saving,medium,74,inside_sales,smb_ai_suite,medium,high,assisted_setup,Embedded AI across Zoho stack
offer-gupshup-conversational-ai,Gupshup,IN,Conversation Cloud,https://www.gupshup.io/products/conversational-ai, vendor_official,INFERENCE,2026-03-17T04:05:00Z,gupshup-offer|prompt03-offer-refresh,candidate,b2b,smb_and_enterprise,front_office,customer_support,WhatsApp-led support and commerce automation,crm|knowledge_base|whatsapp,cloud_plus_crm,medium,custom_quote,low_visibility,smb_medium,150000,medium,medium,medium,en|hi,medium,medium,low,service_speed,medium,74,partner_led,support_automation,medium,high,assisted_setup,Messaging-first conversational platform
offer-observeai-contact-center,Observe.AI,IN,Contact Center AI,https://www.observe.ai/platform/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,observeai-offer|prompt03-offer-refresh,candidate,b2b,enterprise,operations_team,analytics,qa coaching and conversation intelligence,call_recordings|crm|qa_history,call_center_stack,high,custom_quote,low_visibility,enterprise_high,600000,high,medium,medium,en,low,high,medium,cost_saving,high,78,enterprise_sales,contact_center_intelligence,medium,high,integration_project,Conversation intelligence for call centers
offer-qure-radiology-ai,Qure.ai,IN,Radiology AI Suite,https://www.qure.ai/solutions/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,qureai-offer|prompt03-offer-refresh,candidate,b2b,enterprise,operations_team,healthcare_screening,radiology triage and workflow support,imaging_data|clinical_workflow,desktop_required,high,custom_quote,low_visibility,enterprise_high,750000,high,high,high,en,low,high,high,risk_reduction,high,80,enterprise_sales,healthcare_ai,high,high,integration_project,Clinical workflow AI with high compliance friction
offer-uniphore-automation-suite,Uniphore,IN,Enterprise AI Automation,https://www.uniphore.com/platform/,vendor_official,INFERENCE,2026-03-17T04:05:00Z,uniphore-offer|prompt03-offer-refresh,candidate,b2b,enterprise,operations_team,customer_support,contact center automation and analytics,crm|telephony|knowledge_base,call_center_stack,high,custom_quote,low_visibility,enterprise_high,650000,high,high,medium,en,low,high,medium,cost_saving,high,78,enterprise_sales,contact_center_intelligence,high,high,integration_project,Large-scale customer experience automation
