firm_id,zone_id,sector_id,size_band,market_segment_id,ability_to_pay_score,digital_maturity_score,channel_reachability_score,expansion_potential_score
firm-v2-000041,south_west_suburban,real_estate_services,micro,b2b_general_local_smes,38.16,51.36,55.44,49.23
firm-v2-000042,admin_professional_belt,professional_services,small,b2b_knowledge_and_admin_smes,83.61,83.44,74.84,71.45
firm-v2-000043,south_west_suburban,healthcare_services,small,b2b_service_admin_clusters,68.51,54.24,64.97,64.41
firm-v2-000044,core_colombo,growth_services,medium,b2b_knowledge_and_admin_smes,98.0,100.0,80.44,91.2
firm-v2-000045,south_west_suburban,retail_trade,micro,b2b_frontline_micro_operators,31.52,29.36,41.58,40.73
firm-v2-000046,core_colombo,retail_trade,micro,b2b_frontline_micro_operators,40.24,35.36,43.76,44.85
firm-v2-000047,outer_commuter_belt,tourism_hospitality,small,b2b_consumer_service_smes,47.28,50.64,59.26,57.5
firm-v2-000048,outer_commuter_belt,retail_trade,micro,b2b_frontline_micro_operators,26.29,25.76,40.27,38.25
firm-v2-000049,core_colombo,growth_services,medium,b2b_knowledge_and_admin_smes,98.0,100.0,80.44,91.2
firm-v2-000050,east_growth_corridor,growth_services,medium,b2b_knowledge_and_admin_smes,91.13,96.08,78.72,88.18
firm-v2-000051,core_colombo,retail_trade,micro,b2b_frontline_micro_operators,40.24,35.36,43.76,44.85
firm-v2-000052,core_colombo,wholesale_distribution,small,b2b_field_and_flow_operators,65.23,60.24,56.15,59.37
firm-v2-000053,core_colombo,food_service,micro,b2b_frontline_micro_operators,36.24,35.36,43.76,43.73
firm-v2-000054,outer_commuter_belt,retail_trade,micro,b2b_frontline_micro_operators,26.29,25.76,40.27,38.25
firm-v2-000055,admin_professional_belt,education_services,small,b2b_service_admin_clusters,72.97,61.44,66.48,67.63
firm-v2-000056,outer_commuter_belt,construction_contractors,small,b2b_field_and_flow_operators,45.28,50.64,48.72,50.98
firm-v2-000057,south_west_suburban,personal_services,micro,b2b_frontline_micro_operators,23.52,29.36,51.48,38.85
firm-v2-000058,admin_professional_belt,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,91.93,86.08,80.42,80.0
firm-v2-000059,core_colombo,logistics_services,small,b2b_field_and_flow_operators,67.23,60.24,56.15,59.93
firm-v2-000060,south_west_suburban,professional_services,small,b2b_knowledge_and_admin_smes,73.15,76.24,72.23,66.51
firm-v2-000061,core_colombo,light_manufacturing,micro,b2b_workshop_manufacturing,38.24,35.36,37.26,33.49
firm-v2-000062,outer_commuter_belt,light_manufacturing,micro,b2b_workshop_manufacturing,24.29,25.76,33.77,26.89
firm-v2-000063,outer_commuter_belt,retail_trade,micro,b2b_frontline_micro_operators,26.29,25.76,40.27,38.25
firm-v2-000064,admin_professional_belt,retail_trade,micro,b2b_frontline_micro_operators,41.99,36.56,44.2,45.67
firm-v2-000065,east_growth_corridor,construction_contractors,small,b2b_field_and_flow_operators,52.25,55.44,50.46,54.27
firm-v2-000066,south_west_suburban,logistics_services,small,b2b_field_and_flow_operators,58.51,54.24,53.97,55.81
firm-v2-000067,admin_professional_belt,construction_contractors,small,b2b_field_and_flow_operators,60.97,61.44,52.64,58.39
firm-v2-000068,outer_commuter_belt,retail_trade,micro,b2b_frontline_micro_operators,26.29,25.76,40.27,38.25
firm-v2-000069,east_growth_corridor,retail_trade,micro,b2b_frontline_micro_operators,33.27,30.56,42.02,41.55
firm-v2-000070,south_west_suburban,light_manufacturing,micro,b2b_workshop_manufacturing,29.52,29.36,35.08,29.37
firm-v2-000071,core_colombo,personal_services,micro,b2b_frontline_micro_operators,32.24,35.36,53.66,42.97
firm-v2-000072,east_growth_corridor,food_service,micro,b2b_frontline_micro_operators,29.27,30.56,42.02,40.43
firm-v2-000073,south_west_suburban,education_services,small,b2b_service_admin_clusters,62.51,54.24,63.87,62.69
firm-v2-000074,east_growth_corridor,real_estate_services,micro,b2b_general_local_smes,39.91,52.56,55.88,50.05
firm-v2-000075,outer_commuter_belt,food_service,micro,b2b_frontline_micro_operators,22.29,25.76,40.27,37.13
firm-v2-000076,core_colombo,growth_services,medium,b2b_knowledge_and_admin_smes,98.0,100.0,80.44,91.2
firm-v2-000077,outer_commuter_belt,education_services,small,b2b_service_admin_clusters,57.28,50.64,62.56,60.22
firm-v2-000078,south_west_suburban,retail_trade,small,b2b_consumer_service_smes,54.51,54.24,58.37,60.45
firm-v2-000079,core_colombo,logistics_services,small,b2b_field_and_flow_operators,67.23,60.24,56.15,59.93
firm-v2-000080,south_west_suburban,food_service,micro,b2b_frontline_micro_operators,27.52,29.36,41.58,39.61
firm-v2-000081,core_colombo,retail_trade,micro,b2b_frontline_micro_operators,40.24,35.36,43.76,44.85
firm-v2-000082,admin_professional_belt,food_service,micro,b2b_frontline_micro_operators,37.99,36.56,44.2,44.55
firm-v2-000083,south_west_suburban,construction_contractors,small,b2b_field_and_flow_operators,50.51,54.24,50.03,53.45
firm-v2-000084,core_colombo,food_service,micro,b2b_frontline_micro_operators,36.24,35.36,43.76,43.73
firm-v2-000085,south_west_suburban,food_service,micro,b2b_frontline_micro_operators,27.52,29.36,41.58,39.61
firm-v2-000086,core_colombo,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,90.19,84.88,79.99,79.18
firm-v2-000087,east_growth_corridor,personal_services,micro,b2b_frontline_micro_operators,25.27,30.56,51.92,39.67
firm-v2-000088,south_west_suburban,tourism_hospitality,small,b2b_consumer_service_smes,52.51,54.24,60.57,59.97
firm-v2-000089,outer_commuter_belt,retail_trade,micro,b2b_frontline_micro_operators,26.29,25.76,40.27,38.25
firm-v2-000090,outer_commuter_belt,education_services,small,b2b_service_admin_clusters,57.28,50.64,62.56,60.22
firm-v2-000091,core_colombo,light_manufacturing,micro,b2b_workshop_manufacturing,38.24,35.36,37.26,33.49
firm-v2-000092,south_west_suburban,growth_services,medium,b2b_knowledge_and_admin_smes,89.39,94.88,78.29,87.36
firm-v2-000093,outer_commuter_belt,healthcare_services,small,b2b_service_admin_clusters,63.28,50.64,63.66,61.94
firm-v2-000094,outer_commuter_belt,construction_contractors,small,b2b_field_and_flow_operators,45.28,50.64,48.72,50.98
firm-v2-000095,outer_commuter_belt,food_service,micro,b2b_frontline_micro_operators,22.29,25.76,40.27,37.13
firm-v2-000096,outer_commuter_belt,education_services,small,b2b_service_admin_clusters,57.28,50.64,62.56,60.22
firm-v2-000097,admin_professional_belt,food_service,micro,b2b_frontline_micro_operators,37.99,36.56,44.2,44.55
firm-v2-000098,east_growth_corridor,education_services,small,b2b_service_admin_clusters,64.25,55.44,64.3,63.51
firm-v2-000099,south_west_suburban,real_estate_services,micro,b2b_general_local_smes,38.16,51.36,55.44,49.23
firm-v2-000100,east_growth_corridor,growth_services,medium,b2b_knowledge_and_admin_smes,91.13,96.08,78.72,88.18
firm-v2-000101,admin_professional_belt,growth_services,medium,b2b_knowledge_and_admin_smes,99.6,100.0,80.84,91.65
firm-v2-000102,south_west_suburban,construction_contractors,small,b2b_field_and_flow_operators,50.51,54.24,50.03,53.45
firm-v2-000103,south_west_suburban,personal_services,micro,b2b_frontline_micro_operators,23.52,29.36,51.48,38.85
firm-v2-000104,south_west_suburban,healthcare_services,small,b2b_service_admin_clusters,68.51,54.24,64.97,64.41
firm-v2-000105,admin_professional_belt,healthcare_services,small,b2b_service_admin_clusters,78.97,61.44,67.58,69.35
firm-v2-000106,east_growth_corridor,food_service,micro,b2b_frontline_micro_operators,29.27,30.56,42.02,40.43
firm-v2-000107,outer_commuter_belt,education_services,small,b2b_service_admin_clusters,57.28,50.64,62.56,60.22
firm-v2-000108,admin_professional_belt,growth_services,medium,b2b_knowledge_and_admin_smes,99.6,100.0,80.84,91.65
firm-v2-000109,east_growth_corridor,real_estate_services,micro,b2b_general_local_smes,39.91,52.56,55.88,50.05
firm-v2-000110,south_west_suburban,retail_trade,small,b2b_consumer_service_smes,54.51,54.24,58.37,60.45
firm-v2-000111,core_colombo,growth_services,medium,b2b_knowledge_and_admin_smes,98.0,100.0,80.44,91.2
firm-v2-000112,east_growth_corridor,real_estate_services,micro,b2b_general_local_smes,39.91,52.56,55.88,50.05
firm-v2-000113,core_colombo,retail_trade,micro,b2b_frontline_micro_operators,40.24,35.36,43.76,44.85
firm-v2-000114,east_growth_corridor,personal_services,micro,b2b_frontline_micro_operators,25.27,30.56,51.92,39.67
firm-v2-000115,admin_professional_belt,retail_trade,small,b2b_consumer_service_smes,64.97,61.44,60.98,65.39
firm-v2-000116,south_west_suburban,retail_trade,micro,b2b_frontline_micro_operators,31.52,29.36,41.58,40.73
firm-v2-000117,core_colombo,professional_services,small,b2b_knowledge_and_admin_smes,81.87,82.24,74.41,70.63
firm-v2-000118,south_west_suburban,food_service,micro,b2b_frontline_micro_operators,27.52,29.36,41.58,39.61
firm-v2-000119,south_west_suburban,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,81.47,78.88,77.81,75.06
firm-v2-000120,core_colombo,professional_services,small,b2b_knowledge_and_admin_smes,81.87,82.24,74.41,70.63
firm-v2-000121,core_colombo,education_services,small,b2b_service_admin_clusters,71.23,60.24,66.05,66.81
firm-v2-000122,admin_professional_belt,real_estate_services,micro,b2b_general_local_smes,48.63,58.56,58.06,54.17
firm-v2-000123,core_colombo,food_service,micro,b2b_frontline_micro_operators,36.24,35.36,43.76,43.73
firm-v2-000124,outer_commuter_belt,food_service,micro,b2b_frontline_micro_operators,22.29,25.76,40.27,37.13
firm-v2-000125,outer_commuter_belt,wholesale_distribution,small,b2b_field_and_flow_operators,51.28,50.64,52.66,52.78
firm-v2-000126,east_growth_corridor,logistics_services,small,b2b_field_and_flow_operators,60.25,55.44,54.4,56.63
firm-v2-000127,outer_commuter_belt,retail_trade,micro,b2b_frontline_micro_operators,26.29,25.76,40.27,38.25
firm-v2-000128,admin_professional_belt,growth_services,medium,b2b_knowledge_and_admin_smes,99.6,100.0,80.84,91.65
firm-v2-000129,south_west_suburban,retail_trade,micro,b2b_frontline_micro_operators,31.52,29.36,41.58,40.73
firm-v2-000130,admin_professional_belt,food_service,micro,b2b_frontline_micro_operators,37.99,36.56,44.2,44.55
firm-v2-000131,east_growth_corridor,construction_contractors,small,b2b_field_and_flow_operators,52.25,55.44,50.46,54.27
firm-v2-000132,south_west_suburban,healthcare_services,small,b2b_service_admin_clusters,68.51,54.24,64.97,64.41
firm-v2-000133,core_colombo,tourism_hospitality,small,b2b_consumer_service_smes,61.23,60.24,62.75,64.09
firm-v2-000134,admin_professional_belt,professional_services,small,b2b_knowledge_and_admin_smes,83.61,83.44,74.84,71.45
firm-v2-000135,south_west_suburban,wholesale_distribution,small,b2b_field_and_flow_operators,56.51,54.24,53.97,55.25
firm-v2-000136,outer_commuter_belt,tourism_hospitality,small,b2b_consumer_service_smes,47.28,50.64,59.26,57.5
firm-v2-000137,admin_professional_belt,wholesale_distribution,small,b2b_field_and_flow_operators,66.97,61.44,56.58,60.19
firm-v2-000138,south_west_suburban,retail_trade,small,b2b_consumer_service_smes,54.51,54.24,58.37,60.45
firm-v2-000139,core_colombo,retail_trade,micro,b2b_frontline_micro_operators,40.24,35.36,43.76,44.85
firm-v2-000140,core_colombo,food_service,micro,b2b_frontline_micro_operators,36.24,35.36,43.76,43.73
firm-v2-000141,south_west_suburban,wholesale_distribution,small,b2b_field_and_flow_operators,56.51,54.24,53.97,55.25
firm-v2-000142,outer_commuter_belt,professional_services,small,b2b_knowledge_and_admin_smes,67.92,72.64,70.92,64.04
firm-v2-000143,admin_professional_belt,personal_services,micro,b2b_frontline_micro_operators,33.99,36.56,54.1,43.79
firm-v2-000144,south_west_suburban,construction_contractors,small,b2b_field_and_flow_operators,50.51,54.24,50.03,53.45
firm-v2-000145,outer_commuter_belt,education_services,small,b2b_service_admin_clusters,57.28,50.64,62.56,60.22
firm-v2-000146,east_growth_corridor,retail_trade,micro,b2b_frontline_micro_operators,33.27,30.56,42.02,41.55
firm-v2-000147,outer_commuter_belt,professional_services,small,b2b_knowledge_and_admin_smes,67.92,72.64,70.92,64.04
firm-v2-000148,core_colombo,light_manufacturing,micro,b2b_workshop_manufacturing,38.24,35.36,37.26,33.49
firm-v2-000149,south_west_suburban,education_services,small,b2b_service_admin_clusters,62.51,54.24,63.87,62.69
firm-v2-000150,east_growth_corridor,retail_trade,micro,b2b_frontline_micro_operators,33.27,30.56,42.02,41.55
firm-v2-000151,core_colombo,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,90.19,84.88,79.99,79.18
firm-v2-000152,core_colombo,tourism_hospitality,small,b2b_consumer_service_smes,61.23,60.24,62.75,64.09
firm-v2-000153,south_west_suburban,retail_trade,small,b2b_consumer_service_smes,54.51,54.24,58.37,60.45
firm-v2-000154,admin_professional_belt,logistics_services,small,b2b_field_and_flow_operators,68.97,61.44,56.58,60.75
firm-v2-000155,east_growth_corridor,tourism_hospitality,small,b2b_consumer_service_smes,54.25,55.44,61.0,60.79
firm-v2-000156,south_west_suburban,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,81.47,78.88,77.81,75.06
firm-v2-000157,south_west_suburban,food_service,micro,b2b_frontline_micro_operators,27.52,29.36,41.58,39.61
firm-v2-000158,east_growth_corridor,light_manufacturing,micro,b2b_workshop_manufacturing,31.27,30.56,35.52,30.19
firm-v2-000159,core_colombo,healthcare_services,small,b2b_service_admin_clusters,77.23,60.24,67.15,68.53
firm-v2-000160,admin_professional_belt,retail_trade,small,b2b_consumer_service_smes,64.97,61.44,60.98,65.39
firm-v2-000161,admin_professional_belt,construction_contractors,small,b2b_field_and_flow_operators,60.97,61.44,52.64,58.39
firm-v2-000162,east_growth_corridor,tourism_hospitality,small,b2b_consumer_service_smes,54.25,55.44,61.0,60.79
firm-v2-000163,east_growth_corridor,retail_trade,micro,b2b_frontline_micro_operators,33.27,30.56,42.02,41.55
firm-v2-000164,admin_professional_belt,logistics_services,small,b2b_field_and_flow_operators,68.97,61.44,56.58,60.75
firm-v2-000165,east_growth_corridor,tourism_hospitality,small,b2b_consumer_service_smes,54.25,55.44,61.0,60.79
firm-v2-000166,south_west_suburban,tourism_hospitality,small,b2b_consumer_service_smes,52.51,54.24,60.57,59.97
firm-v2-000167,south_west_suburban,light_manufacturing,micro,b2b_workshop_manufacturing,29.52,29.36,35.08,29.37
firm-v2-000168,east_growth_corridor,construction_contractors,small,b2b_field_and_flow_operators,52.25,55.44,50.46,54.27
firm-v2-000169,east_growth_corridor,food_service,micro,b2b_frontline_micro_operators,29.27,30.56,42.02,40.43
firm-v2-000170,outer_commuter_belt,education_services,small,b2b_service_admin_clusters,57.28,50.64,62.56,60.22
firm-v2-000171,south_west_suburban,tourism_hospitality,small,b2b_consumer_service_smes,52.51,54.24,60.57,59.97
firm-v2-000172,south_west_suburban,retail_trade,micro,b2b_frontline_micro_operators,31.52,29.36,41.58,40.73
firm-v2-000173,east_growth_corridor,logistics_services,small,b2b_field_and_flow_operators,60.25,55.44,54.4,56.63
firm-v2-000174,outer_commuter_belt,growth_services,medium,b2b_knowledge_and_admin_smes,84.15,91.28,76.98,84.88
firm-v2-000175,outer_commuter_belt,professional_services,small,b2b_knowledge_and_admin_smes,67.92,72.64,70.92,64.04
firm-v2-000176,core_colombo,growth_services,medium,b2b_knowledge_and_admin_smes,98.0,100.0,80.44,91.2
firm-v2-000177,south_west_suburban,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,81.47,78.88,77.81,75.06
firm-v2-000178,south_west_suburban,growth_services,medium,b2b_knowledge_and_admin_smes,89.39,94.88,78.29,87.36
firm-v2-000179,outer_commuter_belt,growth_services,medium,b2b_knowledge_and_admin_smes,84.15,91.28,76.98,84.88
firm-v2-000180,outer_commuter_belt,retail_trade,micro,b2b_frontline_micro_operators,26.29,25.76,40.27,38.25
firm-v2-000181,outer_commuter_belt,light_manufacturing,micro,b2b_workshop_manufacturing,24.29,25.76,33.77,26.89
firm-v2-000182,core_colombo,professional_services,small,b2b_knowledge_and_admin_smes,81.87,82.24,74.41,70.63
firm-v2-000183,core_colombo,healthcare_services,small,b2b_service_admin_clusters,77.23,60.24,67.15,68.53
firm-v2-000184,core_colombo,food_service,micro,b2b_frontline_micro_operators,36.24,35.36,43.76,43.73
firm-v2-000185,admin_professional_belt,retail_trade,micro,b2b_frontline_micro_operators,41.99,36.56,44.2,45.67
firm-v2-000186,east_growth_corridor,real_estate_services,micro,b2b_general_local_smes,39.91,52.56,55.88,50.05
firm-v2-000187,core_colombo,light_manufacturing,micro,b2b_workshop_manufacturing,38.24,35.36,37.26,33.49
firm-v2-000188,south_west_suburban,healthcare_services,small,b2b_service_admin_clusters,68.51,54.24,64.97,64.41
firm-v2-000189,outer_commuter_belt,wholesale_distribution,small,b2b_field_and_flow_operators,51.28,50.64,52.66,52.78
firm-v2-000190,east_growth_corridor,logistics_services,small,b2b_field_and_flow_operators,60.25,55.44,54.4,56.63
firm-v2-000191,outer_commuter_belt,wholesale_distribution,small,b2b_field_and_flow_operators,51.28,50.64,52.66,52.78
firm-v2-000192,outer_commuter_belt,logistics_services,small,b2b_field_and_flow_operators,53.28,50.64,52.66,53.34
firm-v2-000193,outer_commuter_belt,healthcare_services,small,b2b_service_admin_clusters,63.28,50.64,63.66,61.94
firm-v2-000194,outer_commuter_belt,retail_trade,small,b2b_consumer_service_smes,49.28,50.64,57.06,57.98
firm-v2-000195,core_colombo,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,90.19,84.88,79.99,79.18
firm-v2-000196,core_colombo,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,90.19,84.88,79.99,79.18
firm-v2-000197,core_colombo,logistics_services,small,b2b_field_and_flow_operators,67.23,60.24,56.15,59.93
firm-v2-000198,south_west_suburban,retail_trade,micro,b2b_frontline_micro_operators,31.52,29.36,41.58,40.73
firm-v2-000199,core_colombo,education_services,small,b2b_service_admin_clusters,71.23,60.24,66.05,66.81
firm-v2-000200,outer_commuter_belt,wholesale_distribution,small,b2b_field_and_flow_operators,51.28,50.64,52.66,52.78
firm-v2-000201,south_west_suburban,education_services,small,b2b_service_admin_clusters,62.51,54.24,63.87,62.69
firm-v2-000202,admin_professional_belt,personal_services,micro,b2b_frontline_micro_operators,33.99,36.56,54.1,43.79
firm-v2-000203,south_west_suburban,tourism_hospitality,small,b2b_consumer_service_smes,52.51,54.24,60.57,59.97
firm-v2-000204,outer_commuter_belt,retail_trade,micro,b2b_frontline_micro_operators,26.29,25.76,40.27,38.25
firm-v2-000205,outer_commuter_belt,professional_services,small,b2b_knowledge_and_admin_smes,67.92,72.64,70.92,64.04
firm-v2-000206,east_growth_corridor,tourism_hospitality,small,b2b_consumer_service_smes,54.25,55.44,61.0,60.79
firm-v2-000207,south_west_suburban,wholesale_distribution,small,b2b_field_and_flow_operators,56.51,54.24,53.97,55.25
firm-v2-000208,south_west_suburban,food_service,micro,b2b_frontline_micro_operators,27.52,29.36,41.58,39.61
firm-v2-000209,outer_commuter_belt,food_service,micro,b2b_frontline_micro_operators,22.29,25.76,40.27,37.13
firm-v2-000210,south_west_suburban,construction_contractors,small,b2b_field_and_flow_operators,50.51,54.24,50.03,53.45
firm-v2-000211,core_colombo,education_services,small,b2b_service_admin_clusters,71.23,60.24,66.05,66.81
firm-v2-000212,core_colombo,food_service,micro,b2b_frontline_micro_operators,36.24,35.36,43.76,43.73
firm-v2-000213,south_west_suburban,personal_services,micro,b2b_frontline_micro_operators,23.52,29.36,51.48,38.85
firm-v2-000214,south_west_suburban,wholesale_distribution,small,b2b_field_and_flow_operators,56.51,54.24,53.97,55.25
firm-v2-000215,east_growth_corridor,light_manufacturing,micro,b2b_workshop_manufacturing,31.27,30.56,35.52,30.19
firm-v2-000216,outer_commuter_belt,retail_trade,micro,b2b_frontline_micro_operators,26.29,25.76,40.27,38.25
firm-v2-000217,admin_professional_belt,retail_trade,small,b2b_consumer_service_smes,64.97,61.44,60.98,65.39
firm-v2-000218,south_west_suburban,personal_services,micro,b2b_frontline_micro_operators,23.52,29.36,51.48,38.85
firm-v2-000219,east_growth_corridor,food_service,micro,b2b_frontline_micro_operators,29.27,30.56,42.02,40.43
firm-v2-000220,east_growth_corridor,education_services,small,b2b_service_admin_clusters,64.25,55.44,64.3,63.51
firm-v2-000221,admin_professional_belt,wholesale_distribution,small,b2b_field_and_flow_operators,66.97,61.44,56.58,60.19
firm-v2-000222,admin_professional_belt,professional_services,small,b2b_knowledge_and_admin_smes,83.61,83.44,74.84,71.45
firm-v2-000223,core_colombo,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,90.19,84.88,79.99,79.18
firm-v2-000224,outer_commuter_belt,wholesale_distribution,small,b2b_field_and_flow_operators,51.28,50.64,52.66,52.78
firm-v2-000225,core_colombo,tourism_hospitality,small,b2b_consumer_service_smes,61.23,60.24,62.75,64.09
firm-v2-000226,east_growth_corridor,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,83.21,80.08,78.24,75.88
firm-v2-000227,south_west_suburban,personal_services,micro,b2b_frontline_micro_operators,23.52,29.36,51.48,38.85
firm-v2-000228,core_colombo,food_service,micro,b2b_frontline_micro_operators,36.24,35.36,43.76,43.73
firm-v2-000229,outer_commuter_belt,light_manufacturing,micro,b2b_workshop_manufacturing,24.29,25.76,33.77,26.89
firm-v2-000230,outer_commuter_belt,professional_services,small,b2b_knowledge_and_admin_smes,67.92,72.64,70.92,64.04
firm-v2-000231,south_west_suburban,retail_trade,micro,b2b_frontline_micro_operators,31.52,29.36,41.58,40.73
firm-v2-000232,outer_commuter_belt,food_service,micro,b2b_frontline_micro_operators,22.29,25.76,40.27,37.13
firm-v2-000233,south_west_suburban,real_estate_services,micro,b2b_general_local_smes,38.16,51.36,55.44,49.23
firm-v2-000234,core_colombo,food_service,micro,b2b_frontline_micro_operators,36.24,35.36,43.76,43.73
firm-v2-000235,south_west_suburban,wholesale_distribution,small,b2b_field_and_flow_operators,56.51,54.24,53.97,55.25
firm-v2-000236,core_colombo,healthcare_services,small,b2b_service_admin_clusters,77.23,60.24,67.15,68.53
firm-v2-000237,south_west_suburban,education_services,small,b2b_service_admin_clusters,62.51,54.24,63.87,62.69
firm-v2-000238,admin_professional_belt,education_services,small,b2b_service_admin_clusters,72.97,61.44,66.48,67.63
firm-v2-000239,core_colombo,professional_services,small,b2b_knowledge_and_admin_smes,81.87,82.24,74.41,70.63
firm-v2-000240,east_growth_corridor,construction_contractors,small,b2b_field_and_flow_operators,52.25,55.44,50.46,54.27
firm-v2-000241,south_west_suburban,healthcare_services,small,b2b_service_admin_clusters,68.51,54.24,64.97,64.41
firm-v2-000242,east_growth_corridor,healthcare_services,small,b2b_service_admin_clusters,70.25,55.44,65.4,65.23
firm-v2-000243,admin_professional_belt,construction_contractors,small,b2b_field_and_flow_operators,60.97,61.44,52.64,58.39
firm-v2-000244,east_growth_corridor,education_services,small,b2b_service_admin_clusters,64.25,55.44,64.3,63.51
firm-v2-000245,core_colombo,real_estate_services,micro,b2b_general_local_smes,46.88,57.36,57.62,53.35
firm-v2-000246,south_west_suburban,food_service,micro,b2b_frontline_micro_operators,27.52,29.36,41.58,39.61
firm-v2-000247,south_west_suburban,education_services,small,b2b_service_admin_clusters,62.51,54.24,63.87,62.69
