person_id,household_id,zone_id,market_segment_id,age_band,employment_status,language_preference,budget_headroom_score,trust_openness_score,digital_readiness_score,best_channel_reachability,retention_potential_score
person-000007-01,household-v2-000007,core_colombo,b2c_affluent_service_optimizers,35-44,salaried_worker,en,100.0,100.0,100.0,95.0,85.08
person-000007-02,household-v2-000007,core_colombo,b2c_affluent_service_optimizers,25-34,salaried_worker,en,100.0,100.0,100.0,95.0,85.08
person-000007-03,household-v2-000007,core_colombo,b2c_affluent_service_optimizers,0-14,student,en,100.0,100.0,100.0,95.0,85.08
person-000008-01,household-v2-000008,outer_commuter_belt,b2c_care_navigation_households,65+,retired,si,9.56,77.82,67.16,69.75,65.68
person-000008-02,household-v2-000008,outer_commuter_belt,b2c_care_navigation_households,65+,retired,si_en,9.56,77.82,67.16,69.75,65.68
person-000009-01,household-v2-000009,east_growth_corridor,b2c_budget_stretched_commuters,55-64,salaried_worker,si,35.12,99.54,100.0,94.89,64.24
person-000009-02,household-v2-000009,east_growth_corridor,b2c_budget_stretched_commuters,45-54,salaried_worker,si_en,35.12,99.54,100.0,94.89,70.8
person-000009-03,household-v2-000009,east_growth_corridor,b2c_budget_stretched_commuters,0-14,student,si,35.12,99.54,100.0,94.89,64.24
person-000009-04,household-v2-000009,east_growth_corridor,b2c_youth_upskilling_renters,15-24,entry_worker,si,35.12,99.54,100.0,94.89,65.55
person-000010-01,household-v2-000010,south_west_suburban,b2c_budget_stretched_commuters,45-54,salaried_worker,ta,33.69,100.0,100.0,95.0,67.89
person-000010-02,household-v2-000010,south_west_suburban,b2c_budget_stretched_commuters,55-64,salaried_worker,si_en,33.69,100.0,100.0,95.0,67.89
person-000011-01,household-v2-000011,core_colombo,b2c_everyday_utility_seekers,55-64,salaried_worker,si_en,36.69,100.0,100.0,95.0,73.73
person-000011-02,household-v2-000011,core_colombo,b2c_everyday_utility_seekers,45-54,salaried_worker,si,36.69,100.0,100.0,95.0,73.73
person-000012-01,household-v2-000012,south_west_suburban,b2c_budget_stretched_commuters,25-34,informal_worker,si,11.06,78.78,68.12,70.57,63.36
person-000012-02,household-v2-000012,south_west_suburban,b2c_budget_stretched_commuters,0-14,student,si,11.06,78.78,68.12,70.57,63.36
person-000012-03,household-v2-000012,south_west_suburban,b2c_budget_stretched_commuters,65+,informal_worker,si,11.06,78.78,68.12,70.57,63.36
person-000013-01,household-v2-000013,south_west_suburban,b2c_education_intensive_families,35-44,salaried_worker,si,66.5,100.0,100.0,95.0,73.14
person-000013-02,household-v2-000013,south_west_suburban,b2c_education_intensive_families,0-14,student,si_en,66.5,100.0,100.0,95.0,73.14
person-000013-03,household-v2-000013,south_west_suburban,b2c_care_navigation_households,65+,salaried_worker,si_en,66.5,100.0,100.0,95.0,73.14
person-000014-01,household-v2-000014,core_colombo,b2c_affluent_service_optimizers,25-34,salaried_worker,si_en,100.0,100.0,100.0,95.0,85.08
person-000014-02,household-v2-000014,core_colombo,b2c_affluent_service_optimizers,25-34,salaried_worker,si_en,100.0,100.0,100.0,95.0,85.08
person-000014-03,household-v2-000014,core_colombo,b2c_affluent_service_optimizers,0-14,student,en,100.0,100.0,100.0,95.0,85.08
person-000015-01,household-v2-000015,core_colombo,b2c_everyday_utility_seekers,55-64,salaried_worker,si,36.69,100.0,100.0,95.0,73.73
person-000015-02,household-v2-000015,core_colombo,b2c_everyday_utility_seekers,25-34,salaried_worker,si,36.69,100.0,100.0,95.0,73.73
person-000016-01,household-v2-000016,east_growth_corridor,b2c_budget_stretched_commuters,45-54,salaried_worker,si,34.19,100.0,100.0,95.0,67.99
person-000016-02,household-v2-000016,east_growth_corridor,b2c_budget_stretched_commuters,25-34,salaried_worker,ta,34.19,100.0,100.0,95.0,67.99
person-000017-01,household-v2-000017,admin_professional_belt,b2c_everyday_utility_seekers,25-34,salaried_worker,si_en,68.62,100.0,100.0,95.0,81.43
person-000017-02,household-v2-000017,admin_professional_belt,b2c_everyday_utility_seekers,35-44,salaried_worker,si_en,68.62,100.0,100.0,95.0,81.43
person-000017-03,household-v2-000017,admin_professional_belt,b2c_everyday_utility_seekers,0-14,student,si_en,68.62,100.0,100.0,95.0,81.43
person-000017-04,household-v2-000017,admin_professional_belt,b2c_youth_upskilling_renters,15-24,student,en,68.62,100.0,100.0,95.0,85.36
person-000018-01,household-v2-000018,outer_commuter_belt,b2c_budget_stretched_commuters,25-34,informal_worker,si,9.56,77.82,67.16,69.75,67.65
person-000018-02,household-v2-000018,outer_commuter_belt,b2c_budget_stretched_commuters,0-14,student,si,9.56,77.82,67.16,69.75,67.65
person-000018-03,household-v2-000018,outer_commuter_belt,b2c_budget_stretched_commuters,65+,informal_worker,ta,9.56,77.82,67.16,69.75,67.65
person-000019-01,household-v2-000019,core_colombo,b2c_everyday_utility_seekers,25-34,salaried_worker,ta,36.69,100.0,100.0,95.0,73.73
person-000019-02,household-v2-000019,core_colombo,b2c_everyday_utility_seekers,55-64,salaried_worker,en,36.69,100.0,100.0,95.0,73.73
person-000020-01,household-v2-000020,core_colombo,b2c_everyday_utility_seekers,35-44,salaried_worker,si,36.69,100.0,100.0,95.0,73.73
person-000020-02,household-v2-000020,core_colombo,b2c_everyday_utility_seekers,25-34,salaried_worker,si,36.69,100.0,100.0,95.0,73.73
person-000021-01,household-v2-000021,south_west_suburban,b2c_care_navigation_households,65+,retired,si,11.06,78.78,68.12,70.57,68.61
person-000021-02,household-v2-000021,south_west_suburban,b2c_care_navigation_households,65+,retired,si,11.06,78.78,68.12,70.57,68.61
person-000022-01,household-v2-000022,south_west_suburban,b2c_budget_stretched_commuters,45-54,salaried_worker,si,34.62,99.78,100.0,94.94,67.42
person-000022-02,household-v2-000022,south_west_suburban,b2c_budget_stretched_commuters,25-34,salaried_worker,si,34.62,99.78,100.0,94.94,73.97
person-000022-03,household-v2-000022,south_west_suburban,b2c_budget_stretched_commuters,0-14,student,si,34.62,99.78,100.0,94.94,67.42
person-000022-04,household-v2-000022,south_west_suburban,b2c_youth_upskilling_renters,15-24,entry_worker,si,34.62,99.78,100.0,94.94,67.42
person-000023-01,household-v2-000023,core_colombo,b2c_affluent_service_optimizers,25-34,salaried_worker,en,100.0,100.0,100.0,95.0,85.08
person-000023-02,household-v2-000023,core_colombo,b2c_affluent_service_optimizers,35-44,salaried_worker,si_en,100.0,100.0,100.0,95.0,85.08
person-000023-03,household-v2-000023,core_colombo,b2c_affluent_service_optimizers,0-14,student,en,100.0,100.0,100.0,95.0,85.08
person-000024-01,household-v2-000024,core_colombo,b2c_affluent_service_optimizers,25-34,salaried_worker,si_en,100.0,100.0,100.0,95.0,85.08
person-000024-02,household-v2-000024,core_colombo,b2c_affluent_service_optimizers,35-44,salaried_worker,si_en,100.0,100.0,100.0,95.0,85.08
person-000024-03,household-v2-000024,core_colombo,b2c_affluent_service_optimizers,0-14,student,si_en,100.0,100.0,100.0,95.0,85.08
person-000025-01,household-v2-000025,south_west_suburban,b2c_everyday_utility_seekers,25-34,salaried_worker,si,64.62,100.0,100.0,95.0,76.7
person-000025-02,household-v2-000025,south_west_suburban,b2c_everyday_utility_seekers,25-34,salaried_worker,si,64.62,100.0,100.0,95.0,76.7
person-000025-03,household-v2-000025,south_west_suburban,b2c_everyday_utility_seekers,0-14,student,en,64.62,100.0,100.0,95.0,76.7
person-000025-04,household-v2-000025,south_west_suburban,b2c_youth_upskilling_renters,15-24,student,si,64.62,100.0,100.0,95.0,81.94
person-000026-01,household-v2-000026,south_west_suburban,b2c_budget_stretched_commuters,25-34,informal_worker,si,11.06,78.78,68.12,70.57,63.36
person-000026-02,household-v2-000026,south_west_suburban,b2c_budget_stretched_commuters,0-14,student,si,11.06,78.78,68.12,70.57,63.36
person-000026-03,household-v2-000026,south_west_suburban,b2c_budget_stretched_commuters,65+,informal_worker,ta,11.06,78.78,68.12,70.57,63.36
person-000027-01,household-v2-000027,admin_professional_belt,b2c_education_intensive_families,35-44,salaried_worker,si_en,38.62,100.0,100.0,95.0,64.94
person-000027-02,household-v2-000027,admin_professional_belt,b2c_education_intensive_families,25-34,salaried_worker,si,38.62,100.0,100.0,95.0,71.5
person-000027-03,household-v2-000027,admin_professional_belt,b2c_education_intensive_families,0-14,student,si,38.62,100.0,100.0,95.0,64.94
person-000027-04,household-v2-000027,admin_professional_belt,b2c_youth_upskilling_renters,15-24,entry_worker,en,38.62,100.0,100.0,95.0,70.19
person-000028-01,household-v2-000028,outer_commuter_belt,b2c_care_navigation_households,65+,retired,si,9.56,77.82,67.16,69.75,65.68
person-000028-02,household-v2-000028,outer_commuter_belt,b2c_care_navigation_households,65+,retired,si,9.56,77.82,67.16,69.75,65.68
person-000029-01,household-v2-000029,east_growth_corridor,b2c_budget_stretched_commuters,45-54,salaried_worker,si_en,35.12,99.54,100.0,94.89,64.24
person-000029-02,household-v2-000029,east_growth_corridor,b2c_budget_stretched_commuters,35-44,salaried_worker,si_en,35.12,99.54,100.0,94.89,70.8
person-000029-03,household-v2-000029,east_growth_corridor,b2c_budget_stretched_commuters,0-14,student,si,35.12,99.54,100.0,94.89,64.24
person-000029-04,household-v2-000029,east_growth_corridor,b2c_youth_upskilling_renters,15-24,entry_worker,si,35.12,99.54,100.0,94.89,65.55
person-000030-01,household-v2-000030,south_west_suburban,b2c_budget_stretched_commuters,35-44,salaried_worker,si,34.62,99.78,100.0,94.94,67.42
person-000030-02,household-v2-000030,south_west_suburban,b2c_budget_stretched_commuters,45-54,salaried_worker,si,34.62,99.78,100.0,94.94,73.97
person-000030-03,household-v2-000030,south_west_suburban,b2c_budget_stretched_commuters,0-14,student,si,34.62,99.78,100.0,94.94,67.42
person-000030-04,household-v2-000030,south_west_suburban,b2c_youth_upskilling_renters,15-24,entry_worker,si,34.62,99.78,100.0,94.94,67.42
person-000031-01,household-v2-000031,core_colombo,b2c_education_intensive_families,35-44,salaried_worker,si_en,69.5,100.0,100.0,95.0,73.74
person-000031-02,household-v2-000031,core_colombo,b2c_education_intensive_families,0-14,student,en,69.5,100.0,100.0,95.0,73.74
person-000031-03,household-v2-000031,core_colombo,b2c_care_navigation_households,65+,salaried_worker,si_en,69.5,100.0,100.0,95.0,73.74
person-000032-01,household-v2-000032,core_colombo,b2c_everyday_utility_seekers,35-44,salaried_worker,si,67.62,100.0,100.0,95.0,77.3
person-000032-02,household-v2-000032,core_colombo,b2c_everyday_utility_seekers,45-54,salaried_worker,si_en,67.62,100.0,100.0,95.0,77.3
person-000032-03,household-v2-000032,core_colombo,b2c_everyday_utility_seekers,0-14,student,si,67.62,100.0,100.0,95.0,77.3
person-000032-04,household-v2-000032,core_colombo,b2c_youth_upskilling_renters,15-24,student,si_en,67.62,100.0,100.0,95.0,82.54
person-000033-01,household-v2-000033,east_growth_corridor,b2c_budget_stretched_commuters,55-64,salaried_worker,ta,34.19,100.0,100.0,95.0,67.99
person-000033-02,household-v2-000033,east_growth_corridor,b2c_budget_stretched_commuters,25-34,salaried_worker,si,34.19,100.0,100.0,95.0,67.99
person-000034-01,household-v2-000034,south_west_suburban,b2c_budget_stretched_commuters,45-54,salaried_worker,si,34.62,99.78,100.0,94.94,67.42
person-000034-02,household-v2-000034,south_west_suburban,b2c_budget_stretched_commuters,35-44,salaried_worker,si,34.62,99.78,100.0,94.94,73.97
person-000034-03,household-v2-000034,south_west_suburban,b2c_budget_stretched_commuters,0-14,student,si,34.62,99.78,100.0,94.94,67.42
person-000034-04,household-v2-000034,south_west_suburban,b2c_youth_upskilling_renters,15-24,entry_worker,si_en,34.62,99.78,100.0,94.94,67.42
person-000035-01,household-v2-000035,south_west_suburban,b2c_youth_upskilling_renters,15-24,entry_worker,ta,11.06,78.78,68.12,70.57,67.3
person-000035-02,household-v2-000035,south_west_suburban,b2c_budget_stretched_commuters,0-14,student,si_en,11.06,78.78,68.12,70.57,63.36
person-000035-03,household-v2-000035,south_west_suburban,b2c_budget_stretched_commuters,65+,informal_worker,si,11.06,78.78,68.12,70.57,63.36
person-000036-01,household-v2-000036,admin_professional_belt,b2c_education_intensive_families,45-54,salaried_worker,si,38.62,100.0,100.0,95.0,64.94
person-000036-02,household-v2-000036,admin_professional_belt,b2c_education_intensive_families,55-64,salaried_worker,si_en,38.62,100.0,100.0,95.0,71.5
person-000036-03,household-v2-000036,admin_professional_belt,b2c_education_intensive_families,0-14,student,si,38.62,100.0,100.0,95.0,64.94
person-000036-04,household-v2-000036,admin_professional_belt,b2c_youth_upskilling_renters,15-24,entry_worker,si_en,38.62,100.0,100.0,95.0,70.19
person-000037-01,household-v2-000037,outer_commuter_belt,b2c_budget_stretched_commuters,25-34,salaried_worker,si,10.19,77.82,67.16,69.75,66.53
person-000037-02,household-v2-000037,outer_commuter_belt,b2c_budget_stretched_commuters,0-14,student,si,10.19,77.82,67.16,69.75,66.53
person-000037-03,household-v2-000037,outer_commuter_belt,b2c_youth_upskilling_renters,15-24,entry_worker,si,10.19,77.82,67.16,69.75,70.4
person-000037-04,household-v2-000037,outer_commuter_belt,b2c_budget_stretched_commuters,65+,salaried_worker,ta,10.19,77.82,67.16,69.75,66.53
person-000038-01,household-v2-000038,outer_commuter_belt,b2c_care_navigation_households,65+,retired,ta,9.56,77.82,67.16,69.75,65.68
person-000038-02,household-v2-000038,outer_commuter_belt,b2c_care_navigation_households,65+,retired,si,9.56,77.82,67.16,69.75,65.68
person-000039-01,household-v2-000039,outer_commuter_belt,b2c_budget_stretched_commuters,35-44,salaried_worker,si,10.19,77.82,67.16,69.75,66.53
person-000039-02,household-v2-000039,outer_commuter_belt,b2c_budget_stretched_commuters,0-14,student,si,10.19,77.82,67.16,69.75,66.53
person-000039-03,household-v2-000039,outer_commuter_belt,b2c_youth_upskilling_renters,15-24,entry_worker,si,10.19,77.82,67.16,69.75,70.4
person-000039-04,household-v2-000039,outer_commuter_belt,b2c_budget_stretched_commuters,65+,salaried_worker,si,10.19,77.82,67.16,69.75,66.53
person-000040-01,household-v2-000040,south_west_suburban,b2c_budget_stretched_commuters,55-64,salaried_worker,si_en,34.62,99.78,100.0,94.94,67.42
person-000040-02,household-v2-000040,south_west_suburban,b2c_budget_stretched_commuters,45-54,salaried_worker,si,34.62,99.78,100.0,94.94,73.97
person-000040-03,household-v2-000040,south_west_suburban,b2c_budget_stretched_commuters,0-14,student,si_en,34.62,99.78,100.0,94.94,67.42
person-000040-04,household-v2-000040,south_west_suburban,b2c_youth_upskilling_renters,15-24,entry_worker,si_en,34.62,99.78,100.0,94.94,67.42
person-000041-01,household-v2-000041,south_west_suburban,b2c_everyday_utility_seekers,45-54,salaried_worker,si,64.62,100.0,100.0,95.0,76.7
person-000041-02,household-v2-000041,south_west_suburban,b2c_everyday_utility_seekers,35-44,salaried_worker,si_en,64.62,100.0,100.0,95.0,76.7
person-000041-03,household-v2-000041,south_west_suburban,b2c_everyday_utility_seekers,0-14,student,si,64.62,100.0,100.0,95.0,76.7
person-000041-04,household-v2-000041,south_west_suburban,b2c_youth_upskilling_renters,15-24,student,si_en,64.62,100.0,100.0,95.0,81.94
person-000042-01,household-v2-000042,admin_professional_belt,b2c_everyday_utility_seekers,35-44,salaried_worker,si_en,68.62,100.0,100.0,95.0,81.43
person-000042-02,household-v2-000042,admin_professional_belt,b2c_everyday_utility_seekers,35-44,salaried_worker,si,68.62,100.0,100.0,95.0,81.43
person-000042-03,household-v2-000042,admin_professional_belt,b2c_everyday_utility_seekers,0-14,student,si_en,68.62,100.0,100.0,95.0,81.43
person-000042-04,household-v2-000042,admin_professional_belt,b2c_youth_upskilling_renters,15-24,student,si_en,68.62,100.0,100.0,95.0,85.36
person-000043-01,household-v2-000043,south_west_suburban,b2c_youth_upskilling_renters,15-24,entry_worker,ta,11.06,78.78,68.12,70.57,67.3
person-000043-02,household-v2-000043,south_west_suburban,b2c_budget_stretched_commuters,0-14,student,si_en,11.06,78.78,68.12,70.57,63.36
person-000043-03,household-v2-000043,south_west_suburban,b2c_budget_stretched_commuters,65+,informal_worker,si,11.06,78.78,68.12,70.57,63.36
person-000044-01,household-v2-000044,core_colombo,b2c_education_intensive_families,25-34,salaried_worker,si,69.5,100.0,100.0,95.0,73.74
person-000044-02,household-v2-000044,core_colombo,b2c_education_intensive_families,0-14,student,si,69.5,100.0,100.0,95.0,73.74
person-000044-03,household-v2-000044,core_colombo,b2c_care_navigation_households,65+,salaried_worker,si,69.5,100.0,100.0,95.0,73.74
person-000045-01,household-v2-000045,core_colombo,b2c_affluent_service_optimizers,45-54,salaried_worker,si,100.0,100.0,100.0,95.0,85.08
person-000045-02,household-v2-000045,core_colombo,b2c_affluent_service_optimizers,35-44,salaried_worker,si_en,100.0,100.0,100.0,95.0,85.08
person-000045-03,household-v2-000045,core_colombo,b2c_affluent_service_optimizers,0-14,student,si,100.0,100.0,100.0,95.0,85.08
person-000046-01,household-v2-000046,admin_professional_belt,b2c_affluent_service_optimizers,45-54,salaried_worker,si_en,100.0,100.0,100.0,95.0,85.08
person-000046-02,household-v2-000046,admin_professional_belt,b2c_affluent_service_optimizers,25-34,salaried_worker,si_en,100.0,100.0,100.0,95.0,85.08
person-000046-03,household-v2-000046,admin_professional_belt,b2c_affluent_service_optimizers,0-14,student,en,100.0,100.0,100.0,95.0,85.08
person-000047-01,household-v2-000047,core_colombo,b2c_affluent_service_optimizers,25-34,salaried_worker,en,100.0,100.0,100.0,95.0,87.71
person-000047-02,household-v2-000047,core_colombo,b2c_affluent_service_optimizers,25-34,salaried_worker,si_en,100.0,100.0,100.0,95.0,87.71
person-000047-03,household-v2-000047,core_colombo,b2c_affluent_service_optimizers,0-14,student,si_en,100.0,100.0,100.0,95.0,87.71
person-000048-01,household-v2-000048,core_colombo,b2c_affluent_service_optimizers,25-34,salaried_worker,si_en,100.0,100.0,100.0,95.0,85.08
person-000048-02,household-v2-000048,core_colombo,b2c_affluent_service_optimizers,25-34,salaried_worker,si,100.0,100.0,100.0,95.0,85.08
person-000048-03,household-v2-000048,core_colombo,b2c_affluent_service_optimizers,0-14,student,en,100.0,100.0,100.0,95.0,85.08
person-000049-01,household-v2-000049,core_colombo,b2c_education_intensive_families,45-54,salaried_worker,en,69.5,100.0,100.0,95.0,73.74
person-000049-02,household-v2-000049,core_colombo,b2c_education_intensive_families,0-14,student,si,69.5,100.0,100.0,95.0,73.74
person-000049-03,household-v2-000049,core_colombo,b2c_care_navigation_households,65+,salaried_worker,si_en,69.5,100.0,100.0,95.0,73.74
person-000050-01,household-v2-000050,admin_professional_belt,b2c_education_intensive_families,25-34,salaried_worker,si_en,70.5,100.0,100.0,95.0,77.87
person-000050-02,household-v2-000050,admin_professional_belt,b2c_education_intensive_families,0-14,student,si_en,70.5,100.0,100.0,95.0,77.87
person-000050-03,household-v2-000050,admin_professional_belt,b2c_care_navigation_households,65+,salaried_worker,si_en,70.5,100.0,100.0,95.0,77.87
person-000051-01,household-v2-000051,admin_professional_belt,b2c_affluent_service_optimizers,35-44,salaried_worker,si_en,100.0,100.0,100.0,95.0,85.08
person-000051-02,household-v2-000051,admin_professional_belt,b2c_affluent_service_optimizers,35-44,salaried_worker,en,100.0,100.0,100.0,95.0,85.08
person-000051-03,household-v2-000051,admin_professional_belt,b2c_affluent_service_optimizers,0-14,student,en,100.0,100.0,100.0,95.0,85.08
person-000052-01,household-v2-000052,outer_commuter_belt,b2c_care_navigation_households,65+,retired,si_en,9.56,77.82,67.16,69.75,65.68
person-000052-02,household-v2-000052,outer_commuter_belt,b2c_care_navigation_households,65+,retired,si,9.56,77.82,67.16,69.75,65.68
person-000053-01,household-v2-000053,east_growth_corridor,b2c_budget_stretched_commuters,25-34,salaried_worker,si_en,35.12,99.54,100.0,94.89,64.24
person-000053-02,household-v2-000053,east_growth_corridor,b2c_budget_stretched_commuters,25-34,salaried_worker,si,35.12,99.54,100.0,94.89,70.8
person-000053-03,household-v2-000053,east_growth_corridor,b2c_budget_stretched_commuters,0-14,student,si,35.12,99.54,100.0,94.89,64.24
person-000053-04,household-v2-000053,east_growth_corridor,b2c_youth_upskilling_renters,15-24,entry_worker,si,35.12,99.54,100.0,94.89,65.55
person-000054-01,household-v2-000054,core_colombo,b2c_affluent_service_optimizers,25-34,salaried_worker,si_en,100.0,100.0,100.0,95.0,85.08
person-000054-02,household-v2-000054,core_colombo,b2c_affluent_service_optimizers,25-34,salaried_worker,en,100.0,100.0,100.0,95.0,85.08
person-000054-03,household-v2-000054,core_colombo,b2c_affluent_service_optimizers,0-14,student,si_en,100.0,100.0,100.0,95.0,85.08
person-000055-01,household-v2-000055,east_growth_corridor,b2c_microcommerce_strivers,0-14,student,ta,34.19,83.54,100.0,90.89,69.3
person-000055-02,household-v2-000055,east_growth_corridor,b2c_microcommerce_strivers,65+,salaried_worker,si,34.19,83.54,100.0,90.89,69.3
person-000056-01,household-v2-000056,outer_commuter_belt,b2c_budget_stretched_commuters,55-64,salaried_worker,ta,10.19,77.82,67.16,69.75,66.53
person-000056-02,household-v2-000056,outer_commuter_belt,b2c_budget_stretched_commuters,0-14,student,si,10.19,77.82,67.16,69.75,66.53
person-000056-03,household-v2-000056,outer_commuter_belt,b2c_youth_upskilling_renters,15-24,entry_worker,si,10.19,77.82,67.16,69.75,70.4
person-000056-04,household-v2-000056,outer_commuter_belt,b2c_budget_stretched_commuters,65+,salaried_worker,si,10.19,77.82,67.16,69.75,66.53
person-000057-01,household-v2-000057,south_west_suburban,b2c_microcommerce_strivers,0-14,student,si,33.69,83.78,100.0,90.94,69.2
person-000057-02,household-v2-000057,south_west_suburban,b2c_microcommerce_strivers,65+,salaried_worker,ta_en,33.69,83.78,100.0,90.94,69.2
person-000058-01,household-v2-000058,east_growth_corridor,b2c_budget_stretched_commuters,45-54,salaried_worker,si,12.19,78.54,67.88,70.36,65.56
person-000058-02,household-v2-000058,east_growth_corridor,b2c_budget_stretched_commuters,0-14,student,si_en,12.19,78.54,67.88,70.36,65.56
person-000058-03,household-v2-000058,east_growth_corridor,b2c_youth_upskilling_renters,15-24,entry_worker,si,12.19,78.54,67.88,70.36,69.49
person-000058-04,household-v2-000058,east_growth_corridor,b2c_budget_stretched_commuters,65+,salaried_worker,si,12.19,78.54,67.88,70.36,65.56
person-000059-01,household-v2-000059,east_growth_corridor,b2c_budget_stretched_commuters,35-44,salaried_worker,si,35.12,99.54,100.0,94.89,64.24
person-000059-02,household-v2-000059,east_growth_corridor,b2c_budget_stretched_commuters,35-44,salaried_worker,si,35.12,99.54,100.0,94.89,70.8
person-000059-03,household-v2-000059,east_growth_corridor,b2c_budget_stretched_commuters,0-14,student,si_en,35.12,99.54,100.0,94.89,64.24
person-000059-04,household-v2-000059,east_growth_corridor,b2c_youth_upskilling_renters,15-24,entry_worker,si_en,35.12,99.54,100.0,94.89,65.55
person-000060-01,household-v2-000060,south_west_suburban,b2c_everyday_utility_seekers,55-64,salaried_worker,en,64.62,100.0,100.0,95.0,76.7
person-000060-02,household-v2-000060,south_west_suburban,b2c_everyday_utility_seekers,35-44,salaried_worker,si,64.62,100.0,100.0,95.0,76.7
person-000060-03,household-v2-000060,south_west_suburban,b2c_everyday_utility_seekers,0-14,student,si,64.62,100.0,100.0,95.0,76.7
person-000060-04,household-v2-000060,south_west_suburban,b2c_youth_upskilling_renters,15-24,student,si_en,64.62,100.0,100.0,95.0,81.94
person-000061-01,household-v2-000061,core_colombo,b2c_affluent_service_optimizers,35-44,salaried_worker,si_en,100.0,100.0,100.0,95.0,87.71
person-000061-02,household-v2-000061,core_colombo,b2c_affluent_service_optimizers,45-54,salaried_worker,en,100.0,100.0,100.0,95.0,87.71
person-000061-03,household-v2-000061,core_colombo,b2c_affluent_service_optimizers,0-14,student,si_en,100.0,100.0,100.0,95.0,87.71
person-000062-01,household-v2-000062,core_colombo,b2c_affluent_service_optimizers,45-54,salaried_worker,en,100.0,100.0,100.0,95.0,87.71
person-000062-02,household-v2-000062,core_colombo,b2c_affluent_service_optimizers,35-44,salaried_worker,si_en,100.0,100.0,100.0,95.0,87.71
person-000062-03,household-v2-000062,core_colombo,b2c_affluent_service_optimizers,0-14,student,en,100.0,100.0,100.0,95.0,87.71
person-000063-01,household-v2-000063,core_colombo,b2c_affluent_service_optimizers,35-44,salaried_worker,si_en,100.0,100.0,100.0,95.0,85.08
person-000063-02,household-v2-000063,core_colombo,b2c_affluent_service_optimizers,35-44,salaried_worker,si,100.0,100.0,100.0,95.0,85.08
person-000063-03,household-v2-000063,core_colombo,b2c_affluent_service_optimizers,0-14,student,si_en,100.0,100.0,100.0,95.0,85.08
